funding_id,project_id,donor_id,approved_budget,amount_spent,remaining_budget,currency,fiscal_year
477,28,8,479441.16,12411.52,467029.63999999996,USD,2025
478,30,5,132928.78,59995.87,72932.91,EUR,2024
479,15,8,175198.17,119573.64,55624.53000000001,USD,2024
480,7,5,143162.95,76961.69,66201.26000000001,EUR,2024
481,7,2,70831.76,27622.46,43209.299999999996,EUR,2024
482,26,2,57670.17,50487.03,7183.139999999999,EUR,2025
483,4,6,271525.9,203320.41,68205.49000000002,USD,2024
484,29,4,243251.09,183634.6,59616.48999999999,EUR,2023
485,17,4,140290.55,133169.07,7121.479999999981,USD,2023
486,30,2,294266.53,272601.44,21665.090000000026,USD,2023
487,20,3,396675.95,255323.29,141352.66,EUR,2023
488,28,7,43384.34,24983.48,18400.859999999997,USD,2024
489,11,6,270653.56,86647.93,184005.63,EUR,2023
490,24,5,133434.39,107248.04,26186.35000000002,USD,2024
491,5,2,299380.95,20669.2,278711.75,EUR,2025
492,24,4,86873.88,55717.1,31156.780000000006,USD,2024
493,30,2,259657.72,239043.19,20614.53,USD,2024
494,15,7,192991.14,1784.49,191206.65000000002,EUR,2025
495,1,7,6404.18,389.26,6014.92,EUR,2025
496,1,2,319083.98,34265.45,284818.52999999997,EUR,2023
497,16,2,278594.75,156602.26,121992.48999999999,EUR,2025
498,27,8,372492.21,333981.46,38510.75,EUR,2023
499,7,2,37344.17,31057.23,6286.939999999999,USD,2025
500,18,1,60107.52,57645.61,2461.909999999996,USD,2023
501,2,8,54749.47,41041.11,13708.36,USD,2025
502,8,2,28609.7,22935.74,5673.959999999999,USD,2024
503,27,8,427974.42,376547.85,51426.57000000001,USD,2024
504,1,4,8655.28,5372.06,3283.2200000000003,EUR,2025
505,28,2,303835.89,97150.19,206685.7,USD,2023
506,17,2,279181.84,171977.62,107204.22000000003,EUR,2025
507,14,1,242274.59,102922.39,139352.2,USD,2023
508,30,6,246945.48,93379.2,153566.28000000003,EUR,2023
509,6,3,300804.18,36400.24,264403.94,USD,2023
510,21,5,498958.37,55396.84,443561.53,USD,2025
511,28,8,355393.81,84796.69,270597.12,EUR,2024
512,7,7,225767.22,13661.19,212106.03,USD,2024
513,5,5,139414.28,19383.43,120030.85,EUR,2023
514,19,1,298941.04,205247.39,93693.64999999997,EUR,2023
515,24,1,275037.06,46402.87,228634.19,USD,2023
516,4,8,134653.29,47025.33,87627.96,EUR,2023
517,27,7,445555.01,229792.84,215762.17,EUR,2024
518,12,2,401729.02,392523.85,9205.170000000042,EUR,2024
519,24,8,75665.64,2661.84,73003.8,USD,2024
520,25,5,407871.96,263253.39,144618.57,USD,2024
521,15,4,418973.61,216106.36,202867.25,EUR,2025
522,27,8,84538.87,18517.03,66021.84,USD,2024
523,13,1,48978.9,7467.55,41511.35,USD,2024
524,6,1,379030.58,323289.79,55740.79000000004,USD,2024
525,7,6,194707.95,110194.08,84513.87000000001,USD,2023
526,12,8,75215.91,56762.16,18453.75,USD,2024
527,20,1,21111.53,2967.32,18144.21,USD,2023
528,9,5,352875.39,183720.37,169155.02000000002,EUR,2024
529,23,8,70473.4,12926.24,57547.159999999996,USD,2023
530,28,1,202157.07,199162.64,2994.429999999993,USD,2025
531,15,2,403136.39,87481.23,315655.16000000003,USD,2023
532,6,5,365700.46,301661.12,64039.340000000026,USD,2025
533,1,5,479658.0,197207.1,282450.9,USD,2023
534,27,4,248138.11,186696.09,61442.01999999999,USD,2023
535,6,5,80503.05,53809.92,26693.130000000005,USD,2024
536,18,4,144452.3,30755.35,113696.94999999998,USD,2025
537,2,3,148778.88,99608.65,49170.23000000001,USD,2024
538,1,7,260955.04,183452.62,77502.42000000001,EUR,2024
539,25,6,492883.47,482250.85,10632.619999999995,USD,2024
540,28,3,389634.38,249397.38,140237.0,USD,2025
541,4,5,151225.36,141616.85,9608.50999999998,EUR,2025
542,14,4,408969.05,124003.39,284965.66,USD,2024
543,17,4,92079.77,15893.19,76186.58,EUR,2024
544,18,4,250987.78,207134.97,43852.81,USD,2024
545,7,8,193069.01,64505.46,128563.55000000002,USD,2025
546,18,8,247784.46,56035.57,191748.88999999998,EUR,2024
547,17,6,139694.84,99205.21,40489.62999999999,EUR,2025
548,12,2,181683.21,56569.14,125114.06999999999,EUR,2024
549,22,4,31202.98,27217.27,3985.709999999999,EUR,2023
550,9,4,155321.49,136759.37,18562.119999999995,EUR,2025
551,2,7,475367.72,36783.89,438583.82999999996,USD,2023
552,23,8,223389.41,162145.96,61243.45000000001,USD,2025
553,27,2,249993.17,172385.33,77607.84000000003,USD,2023
554,25,8,399063.96,195632.52,203431.44000000003,EUR,2023
555,27,8,378180.51,17528.01,360652.5,USD,2024
556,5,4,234673.13,197849.37,36823.76000000001,EUR,2025
557,1,7,321411.36,285191.07,36220.28999999998,USD,2023
558,10,2,266882.12,91585.41,175296.71,USD,2024
559,21,4,110201.84,7945.57,102256.26999999999,USD,2023
560,9,5,82849.11,19158.33,63690.78,EUR,2025
561,24,1,102312.05,49635.84,52676.21000000001,EUR,2024
562,18,2,147449.73,126880.6,20569.130000000005,USD,2023
563,7,6,323571.16,223438.68,100132.47999999998,EUR,2024
564,24,5,127172.31,74477.53,52694.78,EUR,2023
565,12,7,488754.77,79010.11,409744.66000000003,EUR,2024
566,10,3,302754.94,186872.18,115882.76000000001,EUR,2025
567,13,2,129637.98,9452.08,120185.9,EUR,2023
568,20,4,225488.78,176684.69,48804.09,USD,2024
569,1,8,256267.31,63151.59,193115.72,USD,2023
570,29,2,445885.11,225359.87,220525.24,EUR,2025
571,17,2,443814.28,417779.89,26034.390000000014,USD,2024
572,21,3,143832.65,118598.06,25234.589999999997,EUR,2023
573,19,3,280527.94,120221.77,160306.16999999998,USD,2024
574,17,2,101211.34,42278.3,58933.03999999999,EUR,2024
575,14,8,169020.26,95331.42,73688.84000000001,USD,2023
576,21,2,483436.3,27480.9,455955.39999999997,EUR,2025
577,2,8,298958.7,204726.05,94232.65000000002,EUR,2023
578,24,2,362823.78,297275.1,65548.68000000005,USD,2024
579,14,2,14917.47,707.91,14209.56,USD,2023
580,29,4,323113.8,62478.77,260635.03,EUR,2024
581,13,3,324156.55,231706.99,92449.56,EUR,2024
582,6,8,86393.23,27887.34,58505.89,USD,2025
583,24,2,242217.13,133154.04,109063.09,USD,2024
584,5,8,431577.58,425371.53,6206.049999999988,USD,2024
585,3,3,239528.34,136217.18,103311.16,USD,2023
586,27,6,474182.13,92865.37,381316.76,USD,2025
587,5,1,367373.95,69545.91,297828.04000000004,EUR,2025
588,14,4,286022.84,91028.61,194994.23000000004,EUR,2024
589,30,5,58941.88,58514.59,427.2900000000009,USD,2025
590,17,2,490062.34,201348.38,288713.96,USD,2025
591,1,2,353749.49,267349.33,86400.15999999997,EUR,2023
592,15,4,55427.61,47139.37,8288.239999999998,EUR,2024
593,27,2,230001.3,67014.19,162987.11,USD,2025
594,3,4,295356.55,123936.59,171419.96,EUR,2025
595,23,4,242114.16,241482.55,631.6100000000151,USD,2025
596,10,2,39627.39,27932.76,11694.630000000001,EUR,2023
597,12,7,409274.45,283291.02,125983.43,EUR,2025
598,30,3,228670.05,222378.19,6291.859999999986,USD,2023
599,27,4,323880.62,225415.7,98464.91999999998,USD,2023
600,27,5,224197.59,114457.58,109740.01,USD,2025
601,1,2,170837.79,85139.16,85698.63,USD,2025
602,2,7,441487.47,273627.64,167859.82999999996,EUR,2023
603,1,1,54919.78,6479.43,48440.35,USD,2023
604,13,5,329718.06,140491.12,189226.94,USD,2024
605,25,4,422933.6,150917.48,272016.12,USD,2023
606,20,6,175517.14,61207.59,114309.55000000002,EUR,2023
607,1,3,395422.58,166837.65,228584.93000000002,EUR,2024
608,23,8,29895.45,15307.6,14587.85,USD,2025
609,27,1,50935.03,39074.93,11860.099999999999,USD,2023
610,11,7,175667.26,137881.75,37785.51000000001,USD,2025
611,21,6,91546.47,40585.68,50960.79,EUR,2024
612,26,1,288921.52,83284.57,205636.95,EUR,2024
613,21,3,77853.62,36571.21,41282.409999999996,EUR,2023
614,7,8,77773.11,54399.95,23373.160000000003,EUR,2024
615,15,4,495106.08,284708.62,210397.46000000002,EUR,2023
616,2,2,466524.56,67896.36,398628.2,USD,2023
617,10,1,210297.96,9799.29,200498.66999999998,EUR,2025
618,16,1,111087.3,107196.42,3890.8800000000047,EUR,2024
619,21,1,463444.4,403314.45,60129.95000000001,USD,2025
620,27,3,165988.67,37948.15,128040.52000000002,USD,2023
621,18,6,262095.33,102244.51,159850.82,EUR,2023
622,11,5,348873.77,63461.6,285412.17000000004,USD,2025
623,22,2,218415.15,64922.98,153492.16999999998,USD,2024
624,26,5,148361.02,53781.78,94579.23999999999,USD,2024
625,10,1,94816.52,23531.62,71284.90000000001,EUR,2025
626,30,5,90389.45,74154.87,16234.580000000002,EUR,2024
627,6,7,125761.47,32948.25,92813.22,USD,2024
628,22,2,394156.42,163552.65,230603.77,EUR,2023
629,13,6,269392.21,229722.84,39669.370000000024,USD,2024
630,30,7,29084.85,22835.22,6249.629999999997,EUR,2024
631,10,6,96928.65,62026.35,34902.299999999996,USD,2023
632,9,6,281727.32,183116.15,98611.17000000001,USD,2025
633,12,2,344881.11,188919.77,155961.34,USD,2023
634,27,3,297204.64,153284.85,143919.79,USD,2023
635,30,6,78508.83,62547.11,15961.720000000001,EUR,2023
636,28,1,73592.67,9219.29,64373.38,USD,2024
637,15,5,353857.72,326689.57,27168.149999999965,USD,2024
638,16,5,181114.31,41340.58,139773.72999999998,USD,2023
639,17,2,350475.21,257310.54,93164.67000000001,USD,2025
640,17,3,217279.48,58389.6,158889.88,EUR,2023
641,11,7,416326.38,352449.7,63876.67999999999,USD,2025
642,18,3,319630.49,45545.9,274084.58999999997,USD,2025
643,16,5,44787.35,18699.71,26087.64,USD,2024
644,5,2,424310.39,82579.79,341730.60000000003,USD,2025
645,22,2,458907.28,187491.57,271415.71,EUR,2024
646,12,6,228919.93,177240.47,51679.45999999999,USD,2024
647,27,1,342435.01,114705.41,227729.6,EUR,2024
648,6,5,393837.08,134480.88,259356.2,USD,2024
649,6,7,116746.62,15203.18,101543.44,USD,2024
650,14,2,254979.42,848.8,254130.62000000002,USD,2024
651,4,4,58053.32,3279.22,54774.1,EUR,2023
652,23,8,14397.61,2429.98,11967.630000000001,EUR,2023
653,14,7,182896.36,13677.6,169218.75999999998,EUR,2023
654,11,2,369219.35,262131.18,107088.16999999998,USD,2025
655,13,1,185967.87,180950.46,5017.4100000000035,EUR,2025
656,1,4,39569.29,14193.73,25375.56,EUR,2025
657,4,2,261453.13,241838.41,19614.72,EUR,2023
658,27,3,340012.76,53941.44,286071.32,EUR,2025
659,21,7,62062.86,45283.45,16779.410000000003,USD,2023
660,12,2,110135.3,20911.79,89223.51000000001,USD,2023
661,4,2,406629.61,149315.2,257314.40999999997,EUR,2023
662,13,7,175224.71,171050.16,4174.549999999988,USD,2025
663,4,4,256226.75,208310.85,47915.899999999994,USD,2025
664,24,8,171577.2,125187.21,46389.990000000005,USD,2025
665,1,3,60588.24,44157.31,16430.93,USD,2023
666,7,8,366061.73,142286.8,223774.93,USD,2023
667,12,4,38796.76,12071.6,26725.160000000003,USD,2023
668,26,1,153807.96,150462.29,3345.6699999999837,EUR,2024
669,9,7,274022.55,113843.4,160179.15,EUR,2023
670,28,3,29238.01,28074.12,1163.8899999999994,USD,2025
671,30,2,495675.94,32293.77,463382.17,USD,2023
672,3,4,466227.71,262104.95,204122.76,EUR,2023
673,13,5,184086.63,9473.4,174613.23,USD,2023
674,19,4,234016.97,154496.61,79520.36000000002,EUR,2025
675,20,4,325530.71,218735.93,106794.78000000003,EUR,2024
676,13,6,114273.24,23429.04,90844.20000000001,EUR,2024
677,21,4,39701.93,26863.55,12838.380000000001,EUR,2024
678,2,4,400472.29,19250.79,381221.5,EUR,2024
679,3,8,356084.76,316586.13,39498.630000000005,EUR,2023
680,28,3,17521.64,13851.77,3669.869999999999,USD,2023
681,9,3,9463.73,8923.42,540.3099999999995,USD,2025
682,3,7,339097.75,334332.52,4765.229999999981,USD,2025
683,1,2,37748.5,1805.58,35942.92,USD,2024
684,22,5,41040.43,37865.3,3175.1299999999974,EUR,2023
685,1,1,320518.65,102546.07,217972.58000000002,USD,2024
686,8,8,34365.46,27636.78,6728.68,USD,2025
687,1,8,191057.42,65966.02,125091.40000000001,EUR,2024
688,19,6,311439.86,5676.66,305763.2,USD,2023
689,25,2,13115.1,2289.87,10825.23,EUR,2025
690,1,1,480207.64,64654.88,415552.76,EUR,2024
691,13,3,7715.91,1900.87,5815.04,USD,2025
692,7,4,68799.29,3600.93,65198.35999999999,EUR,2025
693,13,6,457828.88,215948.94,241879.94,USD,2024
694,16,7,158567.59,124613.86,33953.729999999996,USD,2023
695,13,1,465631.91,203339.6,262292.30999999994,EUR,2025
696,29,8,363007.58,151383.57,211624.01,USD,2024
697,2,8,334388.47,326872.71,7515.759999999951,USD,2024
698,17,1,339885.2,94332.49,245552.71000000002,USD,2025
699,5,7,466613.74,246175.18,220438.56,USD,2024
700,13,4,150065.34,94956.48,55108.86,EUR,2023
701,16,4,279319.25,134961.37,144357.88,EUR,2025
702,2,4,147593.94,80526.49,67067.45,USD,2024
703,25,2,328045.8,164695.2,163350.59999999998,EUR,2025
704,9,6,171234.66,130402.82,40831.84,EUR,2024
705,20,2,230608.58,139886.36,90722.22,USD,2025
706,11,5,252729.81,142750.22,109979.59,USD,2024
707,15,5,144288.8,62230.78,82058.01999999999,EUR,2023
708,13,5,173351.15,154769.67,18581.47999999998,USD,2024
709,10,2,145214.26,20478.71,124735.55000000002,EUR,2023
710,11,5,134238.07,61943.14,72294.93000000001,EUR,2025
711,23,1,280718.41,137910.32,142808.08999999997,EUR,2025
712,3,5,288206.2,198449.37,89756.83000000002,USD,2023
713,14,8,497757.01,134802.69,362954.32,USD,2024
714,7,2,209985.29,40398.75,169586.54,USD,2024
715,3,2,435796.04,152140.02,283656.02,EUR,2023
716,2,4,364506.89,167719.55,196787.34000000003,USD,2025
717,19,1,121410.43,10631.53,110778.9,EUR,2024
718,29,8,112358.92,85212.86,27146.059999999998,USD,2023
719,10,8,231476.6,23527.51,207949.09,EUR,2024
720,4,5,98612.16,20321.0,78291.16,USD,2023
721,22,4,124947.01,73943.63,51003.37999999999,USD,2024
722,23,4,353910.99,61669.17,292241.82,EUR,2024
723,23,6,266672.23,247385.84,19286.389999999985,EUR,2023
724,20,1,18691.74,3576.28,15115.460000000001,EUR,2025
725,14,4,275938.85,269401.84,6537.009999999951,EUR,2023
726,3,7,381695.27,349335.55,32359.72000000003,USD,2024
727,15,2,13479.88,9794.51,3685.369999999999,EUR,2024
728,4,7,223133.37,52152.57,170980.8,EUR,2024
729,28,6,326946.84,106001.95,220944.89,EUR,2023
730,15,5,175793.77,174880.86,912.9100000000035,EUR,2023
731,9,8,104875.14,24925.03,79950.11,USD,2025
732,2,1,250852.95,244171.48,6681.470000000001,USD,2025
733,30,7,443142.31,232559.33,210582.98,EUR,2024
734,2,8,201432.95,112965.66,88467.29000000001,EUR,2024
735,19,2,481956.2,95904.39,386051.81,USD,2024
736,25,2,476903.49,185662.05,291241.44,USD,2023
737,2,4,110935.69,59290.88,51644.810000000005,USD,2024
738,5,2,227884.72,129867.67,98017.05,USD,2025
739,20,7,335451.51,247518.72,87932.79000000001,EUR,2024
740,7,4,214063.84,95009.16,119054.68,USD,2024
741,9,5,219323.71,40210.75,179112.96,USD,2024
742,30,5,59942.56,52134.08,7808.479999999996,USD,2023
743,8,7,261560.47,141010.51,120549.95999999999,EUR,2025
744,18,7,146120.13,31894.11,114226.02,USD,2025
745,10,6,345701.88,116378.51,229323.37,USD,2025
746,16,5,84975.34,16316.66,68658.68,USD,2023
747,11,8,216039.28,60638.48,155400.8,EUR,2024
748,20,2,207928.18,101947.47,105980.70999999999,USD,2025
749,26,5,240549.83,220894.99,19654.839999999997,EUR,2024
750,19,8,495512.77,11609.06,483903.71,USD,2024
751,7,6,324311.95,37230.48,287081.47000000003,USD,2025
752,8,6,332091.5,225457.5,106634.0,USD,2023
753,19,8,445300.36,67481.89,377818.47,USD,2025
754,27,6,212326.32,123954.8,88371.52,USD,2025
755,7,8,348150.17,67147.98,281002.19,USD,2025
756,30,5,292921.91,58630.51,234291.39999999997,EUR,2025
757,8,2,305472.65,247808.41,57664.24000000002,EUR,2025
758,13,6,235910.44,153461.26,82449.18,EUR,2024
759,21,8,286283.11,267273.19,19009.919999999984,EUR,2023
760,15,2,379707.8,353384.47,26323.330000000016,EUR,2023
761,13,3,406415.33,130757.56,275657.77,USD,2024
762,10,4,93176.93,61266.92,31910.009999999995,USD,2023
763,8,3,87801.36,68911.39,18889.97,EUR,2024
764,2,2,82359.32,67124.76,15234.560000000012,USD,2024
765,28,2,88142.26,24246.32,63895.939999999995,USD,2025
766,16,6,57670.03,13970.67,43699.36,EUR,2023
767,23,7,82131.72,74258.36,7873.360000000001,EUR,2024
768,1,3,147184.53,33365.18,113819.35,USD,2025
769,10,6,268392.76,148969.2,119423.56,EUR,2023
770,12,1,188587.7,184555.15,4032.5500000000175,USD,2024
771,14,2,290233.01,111682.17,178550.84000000003,USD,2024
772,1,6,237794.31,23254.33,214539.97999999998,EUR,2025
773,21,6,477879.89,14979.29,462900.60000000003,EUR,2025
774,12,8,51756.45,48024.82,3731.6299999999974,USD,2024
775,14,3,312244.49,275519.81,36724.67999999999,EUR,2025
776,28,3,103087.27,77008.88,26078.39,EUR,2025
777,30,2,459076.34,443848.94,15227.400000000023,EUR,2025
778,22,5,219287.22,7129.09,212158.13,USD,2023
779,8,7,133208.76,23962.94,109245.82,USD,2024
780,10,8,401108.6,289559.9,111548.69999999995,USD,2024
781,29,8,247832.19,47571.34,200260.85,EUR,2023
782,26,4,40762.61,39878.55,884.0599999999977,EUR,2024
783,11,5,402458.77,26280.43,376178.34,USD,2025
784,26,3,209257.05,4265.76,204991.28999999998,USD,2025
785,8,7,153668.31,21775.2,131893.11,EUR,2025
786,5,2,256372.43,42907.26,213465.16999999998,EUR,2025
787,8,1,348448.45,193493.64,154954.81,EUR,2024
788,22,4,305838.42,273114.11,32724.309999999998,EUR,2025
789,22,3,319991.57,278397.96,41593.609999999986,EUR,2024
790,13,7,196180.62,173983.1,22197.51999999999,EUR,2023
791,27,2,289199.98,121174.1,168025.87999999998,EUR,2023
792,29,1,111334.51,108219.61,3114.899999999994,EUR,2025
793,20,2,6104.26,2414.78,3689.48,USD,2023
794,9,7,51318.44,45319.61,5998.830000000002,USD,2023
795,4,5,444527.03,112571.3,331955.73000000004,EUR,2024
796,14,6,69840.99,66397.84,3443.1500000000087,USD,2025
797,12,8,186830.98,139653.54,47177.44,USD,2023
798,10,4,495404.79,350891.96,144512.82999999996,USD,2023
799,13,3,126890.72,22950.68,103940.04000000001,EUR,2024
800,13,4,99774.88,26283.57,73491.31,USD,2023
